district_id,state_id,name
319,19,Nandurbar
320,19,Nashik
321,19,Nanded
322,19,Latur
323,19,Osmanabad
324,19,Hingoli
325,19,Parbhani
326,20,South Goa
327,20,North Goa
328,19,Kolhapur
329,19,Ratnagiri
330,19,Sindhudurg
331,19,Satara
332,19,Sangli
333,19,Mumbai
334,19,Raigarh(mh)
335,19,Thane
336,19,Akola
337,19,Washim
338,19,Amravati
339,19,Buldhana
340,19,Gadchiroli
341,19,Chandrapur
342,19,Nagpur
343,19,Gondia
344,19,Bhandara
345,19,Wardha
346,19,Yavatmal
347,19,Ahmed Nagar
348,19,Solapur
349,19,Pune
350,21,Imphal West
351,21,Churachandpur
352,21,Chandel
353,21,Thoubal
354,21,Tamenglong
355,21,Ukhrul
356,21,Imphal East
357,21,Bishnupur
358,21,Senapati
359,22,Aizawl
360,22,Mammit
361,22,Lunglei
362,22,Kolasib
363,22,Lawngtlai
364,22,Champhai
365,22,Saiha
366,22,Serchhip
367,23,Zunhebotto
368,23,Dimapur
369,23,Wokha
370,23,Phek
371,23,Mokokchung
372,23,Kiphire
373,23,Tuensang
374,23,Mon
375,23,Kohima
376,23,Peren
377,23,Longleng
378,24,South Tripura
379,24,West Tripura
380,25,Lower Dibang Valley
381,25,East Siang
382,25,Dibang Valley
383,25,West Siang
384,25,Lohit
385,25,Papum Pare
386,25,Tawang
387,25,West Kameng
388,25,East Kameng
389,25,Lower Subansiri
390,25,Changlang
391,25,Tirap
392,25,Kurung Kumey
393,25,Upper Siang
394,25,Upper Subansiri
395,24,Dhalai
396,24,North Tripura
397,26,West Garo Hills
398,26,East Garo Hills
399,26,Jaintia Hills
400,26,East Khasi Hills
401,26,South Garo Hills
402,26,Ri Bhoi
403,26,West Khasi Hills
404,27,Ganjam
405,27,Gajapati
406,27,Kalahandi
407,27,Nuapada
408,27,Koraput
409,27,Rayagada
410,27,Nabarangapur
411,27,Malkangiri
412,27,Kandhamal
413,27,Boudh
414,27,Baleswar
415,27,Bhadrak
416,27,Kendujhar
417,27,Khorda
418,27,Puri
419,27,Cuttack
420,27,Jajapur
421,27,Kendrapara
422,27,Jagatsinghapur
423,27,Mayurbhanj
424,27,Nayagarh
425,27,Balangir
426,27,Sonapur
427,27,Angul
428,27,Dhenkanal
429,27,Sambalpur
430,27,Bargarh
431,27,Jharsuguda
432,27,Debagarh
433,27,Sundergarh
434,28,Chandigarh
435,29,Ropar
436,29,Mohali
